invited,user_reco,evt_p_reco,evt_c_reco,user_pop,frnd_infl,evt_pop,interested,not_interested
0,0.0,0.0,0.0,0.00157164941421,0.000491642084562,3.07114931621e-06,0,0
1,0.0,4.19429017551,4.19429017551,0.000444976910893,-0.000177123579287,0.00175055511024,0,0
0,0.0,1.58361872978,1.58361872978,0.000209613488989,0.0,5.52806876918e-05,0,0
0,4.5896619838e-11,-1.0,-1.0,0.000922028299628,0.000294985250737,0.000813854568795,1,0
0,9.42044407403,0.998465107019,0.998465107019,0.000122876872856,0.0,0.000285616886407,0,0
0,0.0,-1.0,-1.0,0.00170310959804,0.000245821042281,3.37826424783e-05,1,0
0,0.0,0.0651868702184,0.0651868702184,1.98771411973e-05,0.0,1.5355746581e-05,0,0
0,0.0,-0.486455726971,-0.486455726971,0.000361402567223,-0.000491642084562,-3.37826424783e-05,0,0
0,0.767168002169,1.06284714362,1.06284714362,0.000205095956899,0.000245821042281,0.000128988271281,1,0
0,-0.0775953500277,0.123302582333,0.123302582333,0.000107969016958,0.0,-0.000414605157688,0,0
0,0.0,2.38725167539,2.38725167539,0.000557915213151,0.000491642084562,9.21344794863e-06,0,0
1,6.93890300506,0.0,0.0,0.000512288139039,0.000442477876106,-9.82767781187e-05,0,0
1,0.0,1.65958959014,1.65958959014,0.000275117704299,0.0,6.14229863242e-06,0,0
0,4.2653947222,1.90847066341,1.90847066341,0.00066995000899,0.0,0.00157549959922,0,0
0,2.10395273282,2.3235056712e-07,2.3235056712e-07,0.000317582505947,0.000245821042281,8.59921808538e-05,0,0
0,1.05416466978,2.99539532106,2.99539532106,0.000796892660727,0.0,9.21344794863e-05,0,0
0,0.0,3.42388197428,3.42388197428,0.000239429200785,0.0,6.44941356404e-05,0,0
0,0.0,1.81080815064,1.81080815064,0.000360047307596,0.0,-5.52806876918e-05,1,0
0,0.0,-1.92345175399,-1.92345175399,0.000478858401571,-0.000491642084562,1.5355746581e-05,0,0
0,0.0,1.258833506,1.258833506,5.87279171738e-05,0.000398170002554,2.14980452135e-05,0,0
0,0.0,-33.7012362549,-33.7012362549,9.80304463593e-05,0.0,-7.98498822214e-05,0,1
0,0.0,-1.94879213555,-1.94879213555,0.000645555335702,0.000491642084562,1.5355746581e-05,1,0
0,0.0,0.0,0.0,0.000909830962984,0.000116082158855,0.00175055511024,0,0
0,0.0,0.0,0.0,6.77629813543e-05,0.0,1.5355746581e-05,0,0
0,0.0,1.01026196455,1.01026196455,1.71666219431e-05,0.0,-1.84268958973e-05,0,0
0,13.5014294637,0.0,0.0,0.000108872523376,0.000491642084562,0.000417676307004,0,0
0,0.0,2.73396906225e-07,2.73396906225e-07,0.000659107931973,0.0,0.0,0,0
0,22.0652647951,0.992502585124,0.992502585124,0.000457174247537,5.34393570177e-05,0.000230336198716,0,0
0,0.0,0.0,0.0,0.00017211797264,0.000491642084562,6.44941356404e-05,0,0
0,0.386635872191,0.0,0.0,0.00019063985421,0.0,-9.82767781187e-05,0,0
0,0.0,4.58043807236,4.58043807236,0.000280990496016,0.0,0.000377751365894,1,0
0,0.0,-9.58229810485,-9.58229810485,0.00101960699278,0.0,9.82767781187e-05,0,1
0,0.0,0.0,0.0,7.13770070266e-05,0.0,-0.000135130569913,0,0
0,0.0,2.08893689131,2.08893689131,0.000243494979667,0.0,3.68537917945e-05,0,0
0,0.0,0.0217618559218,0.0217618559218,1.71666219431e-05,0.0,3.37826424783e-05,0,0
0,1.56475181378,0.0,0.0,0.00014410927368,0.0,-1.5355746581e-05,0,0
0,0.0,1.32213571973,1.32213571973,0.000175731998312,0.0,3.07114931621e-06,0,0
0,0.0,-7.59775240738,-7.59775240738,0.000187025828538,0.0,0.0,0,1
0,0.0,0.0,0.0,0.000824901359687,0.0,2.76403438459e-05,0,0
0,1.92710588441,1.27617196933,1.27617196933,0.000168955700177,0.0,0.000239549646664,0,0
0,16.9505604656,1.61647363894,1.61647363894,0.000405222628499,0.000290710102176,0.000408462859056,1,0
0,0.0,0.0,0.0,6.14384364279e-05,0.0,0.0,0,0
0,0.0,0.0,0.0,0.000543007357253,0.0,0.0001136325247,0,0
0,0.848959230319,0.987693501968,0.987693501968,0.000383538474466,0.0,-0.000208838153502,0,0
0,5.90596224553,0.0,0.0,0.00165703077072,0.000245821042281,0.00157549959922,0,0
0,0.0,1.56089359703,1.56089359703,0.000303578156467,0.000491642084562,3.07114931621e-05,0,0
0,0.0,0.58800547973,0.58800547973,0.000444976910893,0.0,3.99249411107e-05,0,0
0,1.34565087762,1.1009422357,1.1009422357,0.00130195274842,0.0,0.000586589519396,0,0
0,3.81130226046e-07,1.2629684967,1.2629684967,0.000388507759765,0.0,0.00105647536478,1,0
0,0.0,1.9852221079,1.9852221079,0.000749910326988,0.0,-1.5355746581e-05,0,0
0,0.0,-1.0,-1.0,0.000140495248008,0.0,-9.52056288025e-05,1,0
0,5.62469976506,0.0,0.0,0.000813155776252,0.0,0.000313257230253,0,0
