user,event,outcome,prob
508837021,1550429882,0,0.00330326
895925498,771676713,0,0.00353699
3108358241,1306609867,0,0.08122
2098552598,3656857644,0,0.0215632
4007974189,1873283368,0,0.00102574
2329661605,3390105219,0,0.04446
2222162186,3522246891,0,0.137891
1879459765,2007279414,0,0.075844
2456225582,2354781149,0,0.00125102
2169945834,426238334,0,0.10756
1421630185,910169576,0,0.00197991
2272634729,2146934064,0,0.00384388
4261865653,1548928340,0,0.208814
3536031836,1213874055,0,0.0380954
1954960931,2618739853,0,0.0118911
65801702,3781958177,0,0.00144297
2635167233,154199197,0,0.00236388
3890676452,290357106,0,0.0021358
13301498,2198969023,0,0.0372062
50457238,3309338938,0,0.0357002
265682801,423286334,0,0.444148
2727221059,453719661,0,0.0838788
848363602,3477891691,0,0.205158
2248506579,1848091116,0,0.0069829
2205166542,1006903887,0,0.314674
653909548,3444116390,0,0.117946
166685992,326664129,0,0.181724
70585535,3486313858,0,0.0503552
3742693550,837951321,0,0.0515451
2023721073,3565166403,0,0.204702
2946269473,2358288123,0,0.179591
2231607096,3868972599,0,0.0218149
1612038297,3855990127,0,0.0568163
2272634729,2169756279,0,0.0398476
2483584418,543972501,0,0.0264997
2863143805,3509100603,0,0.0408144
3089564924,3732064146,0,0.0100024
458097400,3034533222,0,0.0314014
3169024744,1876951633,0,0.140104
2023721073,955398943,0,0.00497625
3719575513,1829625839,0,0.00261838
1116289197,2639741116,0,0.000930378
272886293,2237504401,0,0.261032
3676872343,1544421101,0,0.000908238
2928822295,4125420656,0,0.0408908
2008761267,4290470709,0,0.336842
639409951,321596465,0,0.0248559
3131909049,1852872937,0,0.0298
2862718608,367125363,0,0.000933406
2069145631,2916657146,0,0.00279521
2425859426,1256918510,0,0.00254872
1954960931,3609940860,0,0.0133364
4075466480,2974411380,0,0.0158486
1232677153,1764411835,0,0.0865249
708262477,955398943,0,0.087862
728332848,579777979,0,0.0124342
895967408,3944956311,0,0.300248
3681459280,1076364848,0,0.0613668
1240674478,2977770201,0,0.00136805
2634481972,2007279414,0,0.00347084
1304554072,2932999753,0,0.215489
3294080054,899234866,0,0.124443
261990895,3542075399,0,0.0162443
694709965,2518430453,0,0.00497047
712040216,2642707561,0,0.148426
522776668,3692401116,0,0.0909502
364700925,1343845939,0,0.405821
496936219,268233790,0,0.0292256
1799323346,3252356280,0,0.0134081
2815688436,2565080891,0,0.124458
3530946278,771676713,0,0.00168447
3877440809,3919284079,0,0.20329
3693095617,1852872937,0,0.00122886
4055395044,1532377761,0,0.0377576
3709066919,2507275690,0,0.00747685
4129856023,1028330395,0,0.00258263
2383553413,1159701801,0,0.0147673
3054205479,3065347634,0,0.00152962
3531604778,1986416649,0,0.467721
1132746796,3928440935,0,0.0100203
1349737346,2736362265,0,0.00109088
522776668,407061424,0,0.00108757
431015679,3163258205,0,0.0038545
2903662804,580504008,0,0.0971192
1178274219,2529072432,0,0.00214889
3511417249,3849306291,0,0.106502
1346837558,2112976085,0,0.123089
1080002133,914775174,0,0.00249794
1652448351,83332510,0,0.0161427
3613178093,2071994542,0,0.0983878
2489551967,1641491432,0,0.00121852
3200119975,2453993629,0,0.148535
3527940337,3358064160,0,0.0726191
2403055502,711904904,0,0.0815793
335269852,3314895954,0,0.0336913
23170479,3985899647,0,0.153699
2330978075,1900273727,0,0.00111106
2193628344,3249252679,0,0.288032
723110955,3897815885,0,0.00197673
1871580056,2149464820,0,0.00889886
1844741381,955398943,0,0.0219537
3389773360,349771745,0,0.00861983
3406326706,3278874120,0,0.0317489
244644122,152418051,0,0.0477293
3467140948,1532377761,0,0.203895
2030266367,2543488064,0,0.0021395
1826190863,2654661184,0,0.00130547
1239364869,4089322861,0,0.00199958
67249956,4125420656,0,0.00427729
3427056824,3347318178,0,0.0021649
661656054,1393751701,0,0.0382798
3147653776,2498491194,0,0.00476491
4123476974,1269035551,0,0.0154233
3663559651,3088405938,0,0.0205175
708262477,2529072432,0,0.0903171
2703461171,3882708104,0,0.00339325
3330927216,3696948957,0,0.0911723
2914443596,3979927641,0,0.089684
419778061,861118590,0,0.0893885
2849010050,2035433625,0,0.0305646
1525918364,1692359541,0,0.0385155
507847098,2384544175,0,0.0411952
1075375005,299923852,0,0.00609934
1234792409,1277292991,0,0.0016131
2933561364,3512048812,0,0.0371424
2217567238,3247283924,0,0.05226
1890732196,1096700405,0,0.022472
2971889961,1361307272,0,0.13615
341641838,540727848,0,0.00143809
3715196259,2760908744,0,0.0618757
413292015,1749018134,0,0.00203889
709445936,3171087633,0,0.013492
2888420415,4081195893,0,0.0522377
1073831349,1343164833,0,0.0258187
1228133573,952519340,0,0.00310505
2772609387,2047026922,0,0.00151834
280410144,292829502,0,0.0308042
3330061773,740982915,0,0.00271898
2557219570,3573523098,0,0.453361
2995967526,1910411667,0,0.0133572
3820521570,2063056872,0,0.0539663
2928822295,2428145712,0,0.0506946
4032639394,2861875204,0,0.00138974
2286248913,2628680570,0,0.0599002
1414301782,627844908,0,0.0247265
2233880590,1433540428,0,0.0905376
2062977016,2130616732,0,0.0462356
686015101,2345968214,0,0.00128874
3035544663,1963766612,0,0.00114571
203050907,1699663431,0,0.0707883
601094182,4243222986,0,0.1783
2949537983,1491291821,0,0.0803695
609331956,1198319209,0,0.0766635
2566144998,3988084859,0,0.0340514
985547042,1542381330,0,0.00499669
3742693550,3871210244,0,0.0181718
1531475209,2973911742,1,0.727525
3395257600,2923175068,0,0.141609
1849546291,719337372,0,0.210299
81458678,61894853,0,0.0291157
2895220130,1589820024,0,0.366439
4236494,799782433,0,0.00262728
1668335332,1716470668,0,0.194767
15469418,445373500,0,0.0228251
1748492203,3760762503,0,0.101847
1890318514,243550778,0,0.00133172
4122019703,2501314150,0,0.00242195
490500468,1781986615,0,0.0023441
4075466480,3367065897,0,0.0433528
1696361679,1205670273,0,0.107417
358368837,1280269047,0,0.0284849
1724694030,2286155514,0,0.0306568
267902048,2007279414,0,0.0021695
395305791,930199924,0,0.306546
4122019703,36941495,0,0.00244513
1239364869,4204393289,0,0.014601
2260760754,268233790,0,0.103432
3943175229,3839967033,0,0.0986146
988213942,3712976999,0,0.0245553
2217177799,940261225,0,0.00148054
3626957091,645981714,0,0.00218788
413292015,2490299454,0,0.0030926
3118355226,2258490433,0,0.00330238
3434508639,1926323783,0,0.0174037
3519657066,2965442599,0,0.135108
1427469971,753115138,0,0.00183644
2931803878,1438413864,0,0.0015995
1666085128,899234866,0,0.0164509
1859726822,955398943,0,0.0410055
4286635694,3162029336,0,0.00172824
374950100,3833990162,0,0.0563602
1948945052,3749456307,1,0.989952
2388007096,4038462730,0,0.00247323
3486057072,3350877007,0,0.308806
1213367737,1737420203,0,0.000989038
3898478698,142847450,0,0.0371201
2408246939,3077993055,0,0.149481
2791418962,907836813,0,0.227624
4024104633,3098796729,0,0.197848
1150601139,3577726402,0,0.108418
3531604778,521858421,0,0.288683
1150601139,3831661369,0,0.00252427
793842953,3528426861,0,0.158388
3570943696,4151648493,0,0.0279851
4282954307,2168072348,0,0.0102861
3943175229,1379185675,0,0.0545389
2583651606,2668074570,0,0.00366369
2105508317,3984042837,0,0.0062848
2724319931,2007279414,0,0.000812146
4067602271,3868972599,0,0.041745
1292417817,1133385189,0,0.00466766
988160405,1203717384,0,0.00154207
3963277827,1343073449,0,0.262942
4192733318,3081875998,0,0.29041
3766417922,434335182,0,0.168098
2718796148,3454377311,0,0.00302307
3944021305,2251273418,0,0.112063
1707278925,1601281862,0,0.0409336
3765981467,2949402180,0,0.0682041
3261647162,2401458775,0,0.040653
3365642090,2465528861,0,0.148424
681315287,252367593,0,0.0922539
1668862262,2174082261,0,0.0150267
567820539,1342732412,0,0.00201944
2252845148,3849306291,0,0.0484645
2393678699,472254159,0,0.000946101
3041198590,2433903660,0,0.440027
4026562594,843570927,0,0.00129899
3394779937,2372750027,0,0.001844
931677473,700041279,0,0.487059
1931485787,3376318184,0,0.0136841
1131940169,3048578499,0,0.0211842
3643380555,2115491671,0,0.104671
1935452377,616825218,0,0.483126
1804164018,2479854230,0,0.00164749
1747471686,1750407174,0,0.00278745
3459927853,2149464820,0,0.00141769
3969691423,1532377761,0,0.00363627
3299137750,2106337314,0,0.197501
609630180,1043841273,0,0.0277322
3131909049,2153037761,0,0.0890209
1622366272,955398943,0,0.00321528
38974975,1532377761,0,0.240761
261990895,2038842201,0,0.115136
4180930546,2409076523,0,0.00222148
3272389348,3418415418,0,0.103495
2334852679,2642751886,0,0.2147
1289434141,2482354223,0,0.00398907
1191714842,140441656,0,0.00108648
4075466480,2589616173,0,0.0213101
1541756008,943870191,0,0.059416
1757951758,109156359,0,0.00113859
4075466480,2505487381,0,0.0251092
282487230,2520855981,0,0.0197784
603763318,3816284328,0,0.137091
3573906831,1203717384,0,0.0557521
2571895925,2955216817,0,0.0337274
516110926,3188235554,0,0.459577
304983697,1133385189,0,0.0870705
1426944148,4011667261,0,0.0457614
280995052,745172514,0,0.00437605
3514195773,100417525,0,0.0160591
1195601618,350871311,0,0.0217116
2559754952,3036332464,0,0.103982
3395187066,2106861684,0,0.000859197
2063714458,353933726,0,0.309131
2584536356,2633965197,0,0.00177879
1223566187,610652577,0,0.00138265
2571725299,4105510328,0,0.00180142
2962003608,2401458775,0,0.0623735
4122483286,158205194,0,0.392345
2546983756,729856026,0,0.00277765
3697489067,1811836231,0,0.0233322
1955766052,2354857659,0,0.461118
139210489,3911341942,0,0.000835937
2536496919,3561137432,0,0.00232919
3835637004,2656631876,0,0.138348
2014445987,241839498,0,0.00124044
763694881,2007279414,0,0.000883972
178517662,529900443,0,0.0608256
875823959,3767960965,0,0.0355779
4109397627,3554433899,0,0.0269649
1073821707,955398943,0,0.0630052
2566144998,3784793235,0,0.10527
490500468,3276897540,0,0.00424728
